,v_ego,line_left,line_right,d_target,v_target,act_lon_ego,act_lat_ego,line_left_target,line_right_target,act_lon_target,act_lat_target
1.27,28.048624681608676,1.4426899367899246,-1.3499912587139866,62.06997504369821,21.93150174181514,c,fl,4.421995844987691,1.6293146494837798,c,fl
1.28,28.150895973533622,1.5348409764115543,-1.3856205221141982,62.2513722724894,21.910176997973,c,fl,4.473232830183876,1.5527713316581233,c,fl
1.29,28.135310594397342,1.5270146294295386,-1.4085701451478787,62.16511472528945,21.917227941351882,c,fl,4.3906730143811465,1.4550882398037293,c,fl
1.3,28.07933183877464,1.657192839256149,-1.492317250388587,61.982838882990464,21.890594587007453,c,fl,4.510206787740562,1.3606966980958255,c,fl
1.31,28.105157772229195,1.697542303270155,-1.4997681991357523,61.75742042407476,21.837330170928375,c,fl,4.53186108565444,1.3345505832485327,c,fl
1.32,28.078914400802596,1.7412268832485716,-1.4526354956967928,61.7881363794903,21.846406477885274,c,fl,4.617089960563395,1.4232275816180309,c,fl
1.33,28.045346394721356,1.7216179118973134,-1.4568481787969731,61.90666450090918,21.81042626050892,c,fl,4.604873308039327,1.42640721734504,c,fl
1.34,28.01453274524978,1.655962500596172,-1.4516813827237007,61.940031628257486,21.793119122713037,c,fl,4.642761313760204,1.5351174304403308,c,fl
1.35,27.992727726977055,1.652246128735423,-1.4365492394027135,61.85121025073778,21.78071780664505,c,fl,4.662680567591221,1.5738851994530845,c,fl
1.36,28.06115678878595,1.570868569160401,-1.355716451296595,61.834267330902485,21.81892166379361,c,fl,4.566827201914086,1.6402421814570904,c,fl
1.37,28.020339898804295,1.669756398962268,-1.3180960014661613,61.59531606708547,21.805260769713144,c,fl,4.663848068832924,1.6759956684044945,c,fl
1.3800000000000001,27.98958600593549,1.6190416844336006,-1.3211171417155636,61.61424314855817,21.790828262870637,c,fl,4.621127520981645,1.6809686948324802,c,fl
1.3900000000000001,27.995315637363348,1.5922698772485133,-1.3259761506145562,61.571195914934826,21.804253029748192,c,fl,4.530810576059684,1.612564548196615,c,fl
